Rank,Feature_1,Feature_2,Mean_Absolute_SHAP_Interaction
437,EXAM_AVG,Confident in clinical skills,0.0029421044
438,CLIN_AVG,Anxious about assessments,0.0029250132
439,Completes readings,Employment_hrs,0.0029110962
440,EXAM_AVG,Hopeless/unmotivated,0.0028943853
441,Hopeless/unmotivated,Burnt out,0.0028940798
442,EXAM_AVG,ASSIGN_LATE,0.0028883612
443,Financial_diff,Understands content pre-exam,0.002887195
444,Adequate supervision,Anxious about assessments,0.0028746554
445,Financial_diff,EXAM_AVG,0.0028745541
446,Self_risk_percep,Health interferes studies,0.0028652677
447,Hopeless/unmotivated,Considered break,0.0028583342
448,Age_group,Early intervention provided,0.0028530282
449,ATT_RATE,Participates in clubs,0.002838072
450,Physical health affected,Clinical takes study time,0.0028252874
451,CLIN_AVG,Concentration in self-study,0.0028180794
452,Financial_diff,Early intervention provided,0.002803991
453,CA_AVG,Lecturers approachable,0.0027989526
454,EXAM_AVG,Early intervention provided,0.0027916573
455,Burnt out,Early intervention provided,0.0027746754
456,Health interferes studies,ASSIGN_LATE,0.0027608282
457,Age_group,Confident to complete prog,0.0027483597
458,Manages time effectively,Participates in clubs,0.002715262
459,Programme prepares for career,CA_AVG,0.002690173
460,GPA_S1,Rotations affect performance,0.002684839
461,LAB_AVG,Burnt out,0.0026814037
462,Early intervention provided,Regular exercise,0.0026793573
463,CA_AVG,Uses library regularly,0.0026741996
464,Age_group,Reviews notes within 24h,0.0026644184
465,Completes readings,Rotations affect performance,0.0026582566
466,Programme prepares for career,EXAM_AVG,0.0026446776
467,Completes readings,Participates in clubs,0.002643834
468,Lecturers approachable,Health interferes studies,0.0026418793
469,Takes rest breaks,Considered break,0.0026276328
470,Physical health affected,Employment_hrs,0.0026224698
471,Persists when difficult,ASSIGN_LATE,0.0026222195
472,Persists when difficult,Can improve performance,0.0026209482
473,Takes rest breaks,Hopeless/unmotivated,0.0026145387
474,Financial_diff,Concentration in self-study,0.0026135712
475,Uses library regularly,Prepared for clinical assess,0.0025984363
476,Concentration in self-study,Persists when difficult,0.0025761437
477,Early intervention provided,Confident to complete prog,0.0025700775
478,Sense of belonging,Prepared for clinical assess,0.002557729
479,Financial_diff,Employment_hrs,0.0025518732
480,Persists when difficult,Hopeless/unmotivated,0.002541563
481,Peer study groups effective,Rotations affect performance,0.002534639
482,Anxious about assessments,Rotations affect performance,0.0025274488
483,Seeks help when stuck,Employment_hrs,0.0025224201
484,Peer study groups effective,Understands content pre-exam,0.0025222977
485,Takes rest breaks,Sense of belonging,0.002521602
486,EXAM_AVG,Reviews notes within 24h,0.0025209878
487,Health interferes studies,Participates in clubs,0.002519495
488,Self_risk_percep,Rotations affect performance,0.0025146957
489,CA_AVG,Gender,0.0025114503
490,Financial_diff,Takes rest breaks,0.0025049946
491,Participates in clubs,Sleep difficulty,0.002500301
492,Age_group,Concentration in self-study,0.002485076
493,LAB_AVG,Understands content pre-exam,0.002483565
494,Early intervention provided,Understands content pre-exam,0.0024790629
495,Financial_diff,Takes organised notes,0.002465205
496,Adequate supervision,Confident in clinical skills,0.0024575149
497,Hopeless/unmotivated,Anxious about assessments,0.0024419043
498,Health interferes studies,Understands content pre-exam,0.0024408465
499,Health interferes studies,Prepared for clinical assess,0.0024386742
500,Financial_diff,Seeks help when stuck,0.0024311873
501,Concentration in self-study,Hopeless/unmotivated,0.0024291633
502,Employment_hrs,Anxious about assessments,0.002417933
503,Clinical takes study time,Early intervention provided,0.0024050167
504,Persists when difficult,Regular exercise,0.0023946725
505,Seeks help when stuck,Health interferes studies,0.0023942322
506,Participates in clubs,Rotations affect performance,0.0023731317
507,Self_risk_percep,Early intervention provided,0.0023583795
508,GPA_S1,Regular exercise,0.0023467175
509,Takes rest breaks,Peer study groups effective,0.0023397584
510,LAB_AVG,Health interferes studies,0.0023327242
511,EXAM_AVG,Understands content pre-exam,0.002329274
512,Adequate supervision,Burnt out,0.0022907008
513,Financial_diff,Completes readings,0.0022731782
514,Sense of belonging,Gender,0.0022547331
515,Clinical takes study time,Employment_hrs,0.0022441356
516,Age_group,Sleep difficulty,0.0022259755
517,Lecturers approachable,Sleep affects concentration,0.0022251077
518,Concentration in self-study,ATT_RATE,0.0022230393
519,Manages time effectively,Sense of belonging,0.002217969
520,Concentration in self-study,EXAM_AVG,0.0021961988
521,LAB_AVG,Self_risk_percep,0.00219496
522,Sleep affects concentration,Considered break,0.0021849093
523,Takes rest breaks,EXAM_AVG,0.0021704528
524,Regular exercise,Uses library regularly,0.0021693932
525,Persists when difficult,Gender,0.0021593347
526,ATT_RATE,Can improve performance,0.002159073
527,Study_hrs_day,Reviews notes within 24h,0.00215315
528,Takes organised notes,Reviews notes within 24h,0.0021514767
529,Burnt out,Regular exercise,0.00213882
530,Regular exercise,Confident to complete prog,0.0021348705
531,Physical health affected,Hopeless/unmotivated,0.0021268474
532,LAB_AVG,Gender,0.0021227882
533,Physical health affected,Confident in clinical skills,0.0021125907
534,ATT_RATE,Sense of belonging,0.0021053832
535,Can improve performance,Considered break,0.002095106
536,CLIN_AVG,Sense of belonging,0.0020948763
537,EXAM_AVG,Sleep difficulty,0.0020866466
538,Sleep affects concentration,Takes organised notes,0.0020848378
539,GPA_S1,Burnt out,0.0020701748
540,Adequate supervision,CA_AVG,0.0020678793
541,CLIN_AVG,Clinical takes study time,0.0020678083
542,Seeks help when stuck,Sleep difficulty,0.0020667282
