GPA_S1,Age_group,LAB_AVG,CLIN_AVG,Study_hrs_day,Sleep_hrs,Adequate supervision,Self-motivates,Programme prepares for career,Financial_diff,CA_AVG,Takes rest breaks,Concentration in self-study,Manages time effectively,Persists when difficult,Physical health affected,Lecturers approachable,Self_risk_percep,ATT_RATE,Sleep affects concentration,Peer study groups effective,Seeks help when stuck,EXAM_AVG,Hopeless/unmotivated,Sense of belonging,Gender,Completes readings,Burnt out,Clinical takes study time,Can improve performance,Health interferes studies,Employment_hrs,Takes organised notes,Early intervention provided,Participates in clubs,Confident in clinical skills,Anxious about assessments,Regular exercise,Confident to complete prog,Understands content pre-exam,Uses library regularly,Prepared for clinical assess,Considered break,Sleep difficulty,Reviews notes within 24h,Rotations affect performance,ASSIGN_LATE
3.31,1,0.94,0.7,2,2,4,3,2,0,0.9,3,2,4,3,2,4,2,0.89,3,2,3,0.79,2,2,0,3,3,2,2,2,2,1,1,3,4,2,1,3,3,2,1,3,3,3,4,2
2.26,1,0.82,0.7,3,1,1,2,3,0,0.84,4,2,1,5,2,5,2,0.89,5,2,3,0.59,2,4,0,1,4,3,4,2,4,3,3,3,5,2,1,3,1,4,2,4,3,5,4,0
1.83,1,1.0,0.92,2,2,3,1,2,2,1.0,2,2,4,1,4,4,2,0.59,5,2,4,0.89,4,5,0,2,1,2,3,4,4,2,2,4,2,3,1,2,2,3,1,5,2,1,3,2
2.93,1,0.94,0.99,2,3,3,3,1,2,1.0,2,3,1,3,2,2,1,0.69,5,3,5,1.0,1,1,1,3,1,1,5,3,1,3,3,5,3,4,5,5,4,2,1,3,1,2,4,1
3.05,1,0.86,0.87,3,1,3,2,2,2,0.83,3,2,2,2,2,4,2,0.89,2,2,4,0.89,4,3,0,2,3,3,1,4,0,3,2,4,3,4,3,2,2,4,3,4,2,3,2,2
2.81,2,0.87,0.77,4,1,2,4,4,2,1.0,5,1,2,5,2,3,1,0.79,3,1,3,0.7,4,4,0,2,5,4,2,4,0,1,1,3,3,2,1,4,3,1,2,2,3,1,3,0
3.1,2,0.92,0.6,4,1,4,5,4,2,0.89,1,1,1,4,2,2,2,0.95,5,1,1,0.8,2,2,1,5,1,4,3,2,0,5,5,1,4,5,4,5,2,4,3,2,3,2,3,0
2.38,2,0.87,0.57,1,2,2,4,5,4,0.93,4,2,5,1,2,1,2,1.0,4,2,2,0.7,3,3,1,2,4,5,2,3,0,4,4,2,3,5,1,4,4,1,3,4,1,5,2,2
2.38,1,0.87,1.0,2,3,3,1,2,2,0.64,3,2,2,2,2,2,2,0.6,3,2,3,0.59,3,2,1,1,1,2,2,4,1,3,3,3,2,2,2,3,2,2,2,3,2,3,4,2
3.26,2,0.83,0.83,4,1,1,2,1,0,0.86,2,2,2,2,5,5,0,0.93,5,2,2,0.83,4,4,0,2,2,5,2,4,0,2,4,4,2,5,3,1,3,1,2,5,2,2,5,1
